Tarih;Saat;Tüketim Miktar?(MWh)
31.07.2025;00:00;48.719,05
31.07.2025;01:00;46.512,35
31.07.2025;02:00;44.677,75
31.07.2025;03:00;43.444,06
31.07.2025;04:00;42.240,39
31.07.2025;05:00;41.480,76
31.07.2025;06:00;40.528,53
31.07.2025;07:00;42.810,78
31.07.2025;08:00;49.119,15
31.07.2025;09:00;52.969,26
31.07.2025;10:00;54.544,74
31.07.2025;11:00;55.670,45
31.07.2025;12:00;55.087,15
31.07.2025;13:00;56.469,44
31.07.2025;14:00;57.612,75
31.07.2025;15:00;57.203,88
31.07.2025;16:00;56.829,32
31.07.2025;17:00;56.000,52
31.07.2025;18:00;54.117,15
31.07.2025;19:00;53.969,23
31.07.2025;20:00;54.763,59
31.07.2025;21:00;54.006,59
31.07.2025;22:00;52.260,61
31.07.2025;23:00;50.304,02
1.08.2025;00:00;47.862,39
1.08.2025;01:00;45.732,50
1.08.2025;02:00;44.115,56
1.08.2025;03:00;42.615,43
1.08.2025;04:00;41.641,22
1.08.2025;05:00;39.516,07
1.08.2025;06:00;40.094,63
1.08.2025;07:00;42.126,38
1.08.2025;08:00;48.398,31
1.08.2025;09:00;51.818,18
1.08.2025;10:00;53.691,23
1.08.2025;11:00;53.562,04
1.08.2025;12:00;53.010,24
1.08.2025;13:00;52.602,99
1.08.2025;14:00;55.314,91
1.08.2025;15:00;55.270,96
1.08.2025;16:00;54.787,25
1.08.2025;17:00;53.780,11
1.08.2025;18:00;51.886,41
1.08.2025;19:00;51.694,23
1.08.2025;20:00;52.574,58
1.08.2025;21:00;51.702,35
1.08.2025;22:00;50.127,61
1.08.2025;23:00;48.312,99
2.08.2025;00:00;46.099,40
2.08.2025;01:00;44.469,79
2.08.2025;02:00;42.803,21
2.08.2025;03:00;41.526,82
2.08.2025;04:00;40.564,11
2.08.2025;05:00;39.828,18
2.08.2025;06:00;38.526,90
2.08.2025;07:00;39.705,23
2.08.2025;08:00;43.899,69
2.08.2025;09:00;46.977,56
2.08.2025;10:00;49.032,66
2.08.2025;11:00;50.250,30
2.08.2025;12:00;50.107,20
2.08.2025;13:00;50.952,34
2.08.2025;14:00;51.509,05
2.08.2025;15:00;51.210,66
2.08.2025;16:00;50.518,13
2.08.2025;17:00;49.992,91
2.08.2025;18:00;49.433,14
2.08.2025;19:00;49.115,25
2.08.2025;20:00;50.327,84
2.08.2025;21:00;49.643,66
2.08.2025;22:00;48.011,32
2.08.2025;23:00;46.126,74
3.08.2025;00:00;43.273,47
3.08.2025;01:00;41.340,95
3.08.2025;02:00;39.826,12
3.08.2025;03:00;38.790,31
3.08.2025;04:00;37.690,30
3.08.2025;05:00;36.948,16
3.08.2025;06:00;35.308,70
3.08.2025;07:00;35.470,16
3.08.2025;08:00;37.227,07
3.08.2025;09:00;39.027,42
3.08.2025;10:00;41.170,47
3.08.2025;11:00;42.848,95
3.08.2025;12:00;43.492,65
3.08.2025;13:00;44.608,20
3.08.2025;14:00;45.022,43
3.08.2025;15:00;45.028,89
3.08.2025;16:00;45.096,37
3.08.2025;17:00;44.838,99
3.08.2025;18:00;45.073,39
3.08.2025;19:00;45.678,45
3.08.2025;20:00;47.277,66
3.08.2025;21:00;46.596,35
3.08.2025;22:00;45.545,79
3.08.2025;23:00;44.179,20
4.08.2025;00:00;42.542,93
4.08.2025;01:00;40.636,17
4.08.2025;02:00;39.135,97
4.08.2025;03:00;37.814,72
4.08.2025;04:00;37.018,73
4.08.2025;05:00;36.299,71
4.08.2025;06:00;35.664,02
4.08.2025;07:00;38.184,34
4.08.2025;08:00;45.050,36
4.08.2025;09:00;49.172,75
4.08.2025;10:00;51.376,30
4.08.2025;11:00;52.795,33
4.08.2025;12:00;52.328,02
4.08.2025;13:00;53.571,60
4.08.2025;14:00;55.098,53
4.08.2025;15:00;55.507,95
4.08.2025;16:00;54.554,08
4.08.2025;17:00;53.810,70
4.08.2025;18:00;52.113,36
4.08.2025;19:00;51.950,75
4.08.2025;20:00;53.007,44
4.08.2025;21:00;52.216,34
4.08.2025;22:00;50.622,44
4.08.2025;23:00;48.636,95
5.08.2025;00:00;46.098,28
5.08.2025;01:00;44.054,95
5.08.2025;02:00;42.361,10
5.08.2025;03:00;40.970,07
5.08.2025;04:00;39.798,95
5.08.2025;05:00;39.329,47
5.08.2025;06:00;38.473,95
5.08.2025;07:00;40.877,32
5.08.2025;08:00;46.985,70
5.08.2025;09:00;50.033,84
5.08.2025;10:00;52.633,24
5.08.2025;11:00;53.753,01
5.08.2025;12:00;53.240,30
5.08.2025;13:00;54.649,06
5.08.2025;14:00;56.150,79
5.08.2025;15:00;56.091,02
5.08.2025;16:00;55.825,90
5.08.2025;17:00;54.569,78
5.08.2025;18:00;52.872,84
5.08.2025;19:00;53.049,72
5.08.2025;20:00;54.182,62
5.08.2025;21:00;53.039,40
5.08.2025;22:00;51.393,38
5.08.2025;23:00;49.338,68
6.08.2025;00:00;46.954,40
6.08.2025;01:00;44.841,83
6.08.2025;02:00;43.406,95
6.08.2025;03:00;42.180,42
6.08.2025;04:00;41.141,74
6.08.2025;05:00;40.437,57
6.08.2025;06:00;39.520,06
6.08.2025;07:00;41.863,66
6.08.2025;08:00;47.686,45
6.08.2025;09:00;51.616,94
6.08.2025;10:00;53.507,28
6.08.2025;11:00;54.948,23
6.08.2025;12:00;54.556,40
6.08.2025;13:00;56.000,41
6.08.2025;14:00;56.770,53
6.08.2025;15:00;56.286,14
6.08.2025;16:00;56.536,66
6.08.2025;17:00;55.039,57
6.08.2025;18:00;53.586,69
6.08.2025;19:00;53.647,23
6.08.2025;20:00;54.565,24
6.08.2025;21:00;53.619,09
6.08.2025;22:00;52.113,56
6.08.2025;23:00;49.972,94
7.08.2025;00:00;47.388,81
7.08.2025;01:00;45.412,81
7.08.2025;02:00;43.636,36
7.08.2025;03:00;42.216,96
7.08.2025;04:00;41.085,41
7.08.2025;05:00;40.399,85
7.08.2025;06:00;39.680,28
7.08.2025;07:00;41.480,76
7.08.2025;08:00;47.177,64
7.08.2025;09:00;50.851,86
7.08.2025;10:00;53.076,84
7.08.2025;11:00;54.025,86
7.08.2025;12:00;53.613,60
7.08.2025;13:00;54.624,15
7.08.2025;14:00;56.635,93
7.08.2025;15:00;56.106,52
7.08.2025;16:00;55.957,70
7.08.2025;17:00;54.968,62
7.08.2025;18:00;53.335,93
7.08.2025;19:00;53.506,40
7.08.2025;20:00;54.564,66
7.08.2025;21:00;53.583,26
7.08.2025;22:00;51.771,81
7.08.2025;23:00;49.428,46
8.08.2025;00:00;47.592,79
8.08.2025;01:00;45.563,18
8.08.2025;02:00;43.742,59
8.08.2025;03:00;42.516,11
8.08.2025;04:00;41.074,15
8.08.2025;05:00;40.587,29
8.08.2025;06:00;39.998,82
8.08.2025;07:00;42.148,59
8.08.2025;08:00;47.597,15
8.08.2025;09:00;51.537,85
8.08.2025;10:00;54.123,98
8.08.2025;11:00;55.539,03
8.08.2025;12:00;54.374,76
8.08.2025;13:00;53.738,61
8.08.2025;14:00;56.826,20
8.08.2025;15:00;56.846,95
8.08.2025;16:00;56.736,52
8.08.2025;17:00;55.373,42
8.08.2025;18:00;53.190,19
8.08.2025;19:00;52.236,73
8.08.2025;20:00;53.757,93
8.08.2025;21:00;52.771,67
8.08.2025;22:00;51.094,74
8.08.2025;23:00;49.211,55
9.08.2025;00:00;46.998,04
9.08.2025;01:00;44.704,67
9.08.2025;02:00;43.060,06
9.08.2025;03:00;41.872,39
9.08.2025;04:00;40.917,08
9.08.2025;05:00;40.000,03
9.08.2025;06:00;38.847,82
9.08.2025;07:00;40.229,67
9.08.2025;08:00;44.586,35
9.08.2025;09:00;47.543,65
9.08.2025;10:00;49.960,96
9.08.2025;11:00;51.383,17
9.08.2025;12:00;51.193,43
9.08.2025;13:00;52.102,12
9.08.2025;14:00;52.349,94
9.08.2025;15:00;52.022,32
9.08.2025;16:00;51.573,99
9.08.2025;17:00;51.500,74
9.08.2025;18:00;51.485,60
9.08.2025;19:00;51.819,18
9.08.2025;20:00;52.782,94
9.08.2025;21:00;51.846,85
9.08.2025;22:00;50.283,05
9.08.2025;23:00;48.248,71
10.08.2025;00:00;46.131,77
10.08.2025;01:00;44.186,36
10.08.2025;02:00;42.475,02
10.08.2025;03:00;40.775,89
10.08.2025;04:00;39.573,58
10.08.2025;05:00;38.673,07
10.08.2025;06:00;36.991,72
10.08.2025;07:00;36.784,26
10.08.2025;08:00;38.406,33
10.08.2025;09:00;40.721,58
10.08.2025;10:00;43.167,97
10.08.2025;11:00;44.747,38
10.08.2025;12:00;45.914,18
10.08.2025;13:00;47.558,70
10.08.2025;14:00;47.302,61
10.08.2025;15:00;47.496,89
10.08.2025;16:00;47.401,42
10.08.2025;17:00;47.199,75
10.08.2025;18:00;47.525,97
10.08.2025;19:00;48.332,51
10.08.2025;20:00;49.142,18
10.08.2025;21:00;48.865,26
10.08.2025;22:00;47.873,70
10.08.2025;23:00;46.327,55
11.08.2025;00:00;44.441,51
11.08.2025;01:00;42.646,81
11.08.2025;02:00;41.265,46
11.08.2025;03:00;39.826,96
11.08.2025;04:00;38.716,19
11.08.2025;05:00;38.120,49
11.08.2025;06:00;37.568,50
11.08.2025;07:00;40.064,58
11.08.2025;08:00;46.875,33
11.08.2025;09:00;50.632,41
11.08.2025;10:00;53.122,59
11.08.2025;11:00;54.602,28
11.08.2025;12:00;54.242,75
11.08.2025;13:00;55.837,58
11.08.2025;14:00;57.010,11
11.08.2025;15:00;56.577,97
11.08.2025;16:00;56.490,61
11.08.2025;17:00;55.387,22
11.08.2025;18:00;54.028,08
11.08.2025;19:00;54.181,49
11.08.2025;20:00;54.988,83
11.08.2025;21:00;53.917,91
11.08.2025;22:00;52.149,83
11.08.2025;23:00;49.973,04
12.08.2025;00:00;47.551,24
12.08.2025;01:00;45.468,09
12.08.2025;02:00;43.620,28
12.08.2025;03:00;42.209,87
12.08.2025;04:00;41.129,38
12.08.2025;05:00;40.347,81
12.08.2025;06:00;40.015,79
12.08.2025;07:00;41.849,86
12.08.2025;08:00;47.436,45
12.08.2025;09:00;50.957,12
12.08.2025;10:00;53.072,61
12.08.2025;11:00;54.814,41
12.08.2025;12:00;53.971,32
12.08.2025;13:00;55.423,41
12.08.2025;14:00;56.694,03
12.08.2025;15:00;56.789,62
12.08.2025;16:00;56.095,81
12.08.2025;17:00;55.403,51
12.08.2025;18:00;54.062,38
12.08.2025;19:00;53.842,77
12.08.2025;20:00;55.013,93
12.08.2025;21:00;53.518,60
12.08.2025;22:00;51.948,12
12.08.2025;23:00;49.892,35
13.08.2025;00:00;47.127,78
13.08.2025;01:00;45.303,69
13.08.2025;02:00;42.210,82
13.08.2025;03:00;42.461,40
13.08.2025;04:00;41.180,26
13.08.2025;05:00;40.465,17
13.08.2025;06:00;39.623,57
13.08.2025;07:00;41.789,77
13.08.2025;08:00;47.713,96
13.08.2025;09:00;51.375,78
13.08.2025;10:00;53.170,95
13.08.2025;11:00;54.326,03
13.08.2025;12:00;54.390,86
13.08.2025;13:00;55.701,17
13.08.2025;14:00;56.777,64
13.08.2025;15:00;56.142,49
13.08.2025;16:00;56.637,70
13.08.2025;17:00;55.343,43
13.08.2025;18:00;53.768,38
13.08.2025;19:00;53.914,75
13.08.2025;20:00;54.656,11
13.08.2025;21:00;53.475,04
13.08.2025;22:00;51.724,50
13.08.2025;23:00;49.703,09
14.08.2025;00:00;47.240,14
14.08.2025;01:00;45.227,51
14.08.2025;02:00;43.524,71
14.08.2025;03:00;42.157,93
14.08.2025;04:00;41.200,21
14.08.2025;05:00;40.581,38
14.08.2025;06:00;39.775,96
14.08.2025;07:00;41.481,51
14.08.2025;08:00;47.194,21
14.08.2025;09:00;50.515,47
14.08.2025;10:00;52.575,30
14.08.2025;11:00;54.021,75
14.08.2025;12:00;53.755,06
14.08.2025;13:00;54.842,05
14.08.2025;14:00;56.168,64
14.08.2025;15:00;56.040,83
14.08.2025;16:00;55.862,32
14.08.2025;17:00;54.573,54
14.08.2025;18:00;53.318,42
14.08.2025;19:00;53.454,75
14.08.2025;20:00;54.409,27
14.08.2025;21:00;53.155,87
14.08.2025;22:00;51.358,32
14.08.2025;23:00;49.167,23
15.08.2025;00:00;46.991,67
15.08.2025;01:00;45.002,69
15.08.2025;02:00;43.190,17
15.08.2025;03:00;41.952,12
15.08.2025;04:00;40.975,98
15.08.2025;05:00;40.411,41
15.08.2025;06:00;39.485,46
15.08.2025;07:00;41.532,46
15.08.2025;08:00;46.924,34
15.08.2025;09:00;50.497,84
15.08.2025;10:00;52.181,66
15.08.2025;11:00;53.601,68
15.08.2025;12:00;52.725,54
15.08.2025;13:00;53.044,61
15.08.2025;14:00;55.325,22
15.08.2025;15:00;55.071,69
15.08.2025;16:00;54.073,23
15.08.2025;17:00;53.653,37
15.08.2025;18:00;51.846,13
15.08.2025;19:00;52.153,72
15.08.2025;20:00;52.915,06
15.08.2025;21:00;51.653,50
15.08.2025;22:00;50.180,31
15.08.2025;23:00;48.143,52
16.08.2025;00:00;45.966,12
16.08.2025;01:00;43.945,81
16.08.2025;02:00;42.397,32
16.08.2025;03:00;40.932,16
16.08.2025;04:00;39.970,67
16.08.2025;05:00;39.194,83
16.08.2025;06:00;37.959,37
16.08.2025;07:00;39.017,50
16.08.2025;08:00;42.888,68
16.08.2025;09:00;45.926,35
16.08.2025;10:00;47.617,48
16.08.2025;11:00;48.444,85
16.08.2025;12:00;48.440,80
16.08.2025;13:00;49.594,23
16.08.2025;14:00;49.193,04
16.08.2025;15:00;49.041,93
16.08.2025;16:00;48.634,32
16.08.2025;17:00;48.435,15
16.08.2025;18:00;48.475,68
16.08.2025;19:00;49.237,07
16.08.2025;20:00;49.897,14
16.08.2025;21:00;48.725,20
16.08.2025;22:00;47.191,49
16.08.2025;23:00;45.173,78
17.08.2025;00:00;43.232,69
17.08.2025;01:00;41.524,64
17.08.2025;02:00;39.879,21
17.08.2025;03:00;38.596,45
17.08.2025;04:00;37.563,68
17.08.2025;05:00;36.688,95
17.08.2025;06:00;35.391,48
17.08.2025;07:00;35.078,10
17.08.2025;08:00;36.364,20
17.08.2025;09:00;37.901,13
17.08.2025;10:00;40.274,74
17.08.2025;11:00;41.527,57
17.08.2025;12:00;42.424,43
17.08.2025;13:00;43.425,54
17.08.2025;14:00;43.664,50
17.08.2025;15:00;44.064,53
17.08.2025;16:00;43.695,06
17.08.2025;17:00;43.803,58
17.08.2025;18:00;44.452,68
17.08.2025;19:00;45.538,91
17.08.2025;20:00;46.940,59
17.08.2025;21:00;46.034,94
17.08.2025;22:00;43.375,95
17.08.2025;23:00;43.351,40
18.08.2025;00:00;41.671,68
18.08.2025;01:00;39.926,96
18.08.2025;02:00;38.515,32
18.08.2025;03:00;37.510,14
18.08.2025;04:00;37.005,16
18.08.2025;05:00;36.336,38
18.08.2025;06:00;36.350,10
18.08.2025;07:00;38.450,00
18.08.2025;08:00;45.206,89
18.08.2025;09:00;48.702,73
18.08.2025;10:00;50.620,05
18.08.2025;11:00;52.104,91
18.08.2025;12:00;51.452,24
18.08.2025;13:00;52.686,61
18.08.2025;14:00;54.053,24
18.08.2025;15:00;53.928,90
18.08.2025;16:00;53.738,66
18.08.2025;17:00;53.091,91
18.08.2025;18:00;51.769,77
18.08.2025;19:00;51.684,09
18.08.2025;20:00;52.458,21
18.08.2025;21:00;50.920,42
18.08.2025;22:00;49.177,25
18.08.2025;23:00;46.985,24
19.08.2025;00:00;44.781,68
19.08.2025;01:00;42.987,30
19.08.2025;02:00;41.452,53
19.08.2025;03:00;40.275,09
19.08.2025;04:00;39.525,76
19.08.2025;05:00;38.848,69
19.08.2025;06:00;37.930,43
19.08.2025;07:00;39.643,48
19.08.2025;08:00;45.646,15
19.08.2025;09:00;49.114,90
19.08.2025;10:00;50.239,86
19.08.2025;11:00;52.242,26
19.08.2025;12:00;51.128,35
19.08.2025;13:00;52.866,73
19.08.2025;14:00;54.095,12
19.08.2025;15:00;53.623,25
19.08.2025;16:00;53.592,31
19.08.2025;17:00;52.912,17
19.08.2025;18:00;51.545,65
19.08.2025;19:00;51.687,71
19.08.2025;20:00;52.616,98
19.08.2025;21:00;51.133,41
19.08.2025;22:00;49.438,31
19.08.2025;23:00;47.318,56
20.08.2025;00:00;45.176,22
20.08.2025;01:00;43.232,76
20.08.2025;02:00;41.799,43
20.08.2025;03:00;40.580,61
20.08.2025;04:00;39.435,51
20.08.2025;05:00;39.212,59
20.08.2025;06:00;38.437,55
20.08.2025;07:00;40.494,80
20.08.2025;08:00;46.065,87
20.08.2025;09:00;49.118,61
20.08.2025;10:00;51.166,95
20.08.2025;11:00;52.161,18
20.08.2025;12:00;51.233,86
20.08.2025;13:00;52.508,92
20.08.2025;14:00;53.687,76
20.08.2025;15:00;53.502,68
20.08.2025;16:00;52.901,17
20.08.2025;17:00;52.274,09
20.08.2025;18:00;50.994,80
20.08.2025;19:00;51.524,85
20.08.2025;20:00;52.215,03
20.08.2025;21:00;50.923,23
20.08.2025;22:00;49.373,53
20.08.2025;23:00;45.823,16
21.08.2025;00:00;44.818,22
21.08.2025;01:00;42.933,22
21.08.2025;02:00;41.221,93
21.08.2025;03:00;39.959,86
21.08.2025;04:00;39.493,86
21.08.2025;05:00;38.977,54
21.08.2025;06:00;38.247,59
21.08.2025;07:00;40.068,76
21.08.2025;08:00;45.404,02
21.08.2025;09:00;48.835,21
21.08.2025;10:00;50.462,57
21.08.2025;11:00;51.741,77
21.08.2025;12:00;50.930,99
21.08.2025;13:00;52.208,08
21.08.2025;14:00;53.600,60
21.08.2025;15:00;53.693,11
21.08.2025;16:00;53.397,86
21.08.2025;17:00;52.731,70
21.08.2025;18:00;51.408,09
21.08.2025;19:00;51.732,15
21.08.2025;20:00;52.511,67
21.08.2025;21:00;51.075,64
21.08.2025;22:00;49.249,39
21.08.2025;23:00;46.870,10
22.08.2025;00:00;44.864,51
22.08.2025;01:00;42.926,73
22.08.2025;02:00;41.191,92
22.08.2025;03:00;39.954,41
22.08.2025;04:00;39.207,94
22.08.2025;05:00;38.839,75
22.08.2025;06:00;38.261,23
22.08.2025;07:00;39.906,69
22.08.2025;08:00;45.328,53
22.08.2025;09:00;48.612,57
22.08.2025;10:00;50.412,94
22.08.2025;11:00;51.810,96
22.08.2025;12:00;50.838,54
22.08.2025;13:00;51.587,68
22.08.2025;14:00;53.719,40
22.08.2025;15:00;53.779,12
22.08.2025;16:00;53.776,87
22.08.2025;17:00;53.425,72
22.08.2025;18:00;52.104,14
22.08.2025;19:00;52.239,53
22.08.2025;20:00;52.600,72
22.08.2025;21:00;51.160,01
22.08.2025;22:00;49.154,14
22.08.2025;23:00;45.898,49
23.08.2025;00:00;44.809,46
23.08.2025;01:00;42.748,48
23.08.2025;02:00;41.201,39
23.08.2025;03:00;39.839,14
23.08.2025;04:00;38.870,70
23.08.2025;05:00;38.482,23
23.08.2025;06:00;37.202,25
23.08.2025;07:00;38.084,88
23.08.2025;08:00;41.983,49
23.08.2025;09:00;45.459,78
23.08.2025;10:00;47.606,24
23.08.2025;11:00;48.922,56
23.08.2025;12:00;48.795,07
23.08.2025;13:00;49.797,79
23.08.2025;14:00;50.254,86
23.08.2025;15:00;50.023,88
23.08.2025;16:00;49.386,16
23.08.2025;17:00;49.156,62
23.08.2025;18:00;49.193,33
23.08.2025;19:00;49.818,30
23.08.2025;20:00;50.409,55
23.08.2025;21:00;49.035,04
23.08.2025;22:00;47.346,40
23.08.2025;23:00;45.243,73
24.08.2025;00:00;43.257,62
24.08.2025;01:00;41.442,55
24.08.2025;02:00;39.540,19
24.08.2025;03:00;38.472,24
24.08.2025;04:00;37.384,92
24.08.2025;05:00;36.532,52
24.08.2025;06:00;34.711,19
24.08.2025;07:00;34.778,77
24.08.2025;08:00;36.447,40
24.08.2025;09:00;38.292,19
24.08.2025;10:00;40.347,97
24.08.2025;11:00;41.747,01
24.08.2025;12:00;42.345,11
24.08.2025;13:00;43.363,10
24.08.2025;14:00;43.614,88
24.08.2025;15:00;43.433,78
24.08.2025;16:00;43.175,86
24.08.2025;17:00;43.652,47
24.08.2025;18:00;44.094,45
24.08.2025;19:00;45.337,85
24.08.2025;20:00;46.188,24
24.08.2025;21:00;44.909,31
24.08.2025;22:00;43.862,33
24.08.2025;23:00;42.521,43
25.08.2025;00:00;40.945,33
25.08.2025;01:00;39.184,04
25.08.2025;02:00;37.914,94
25.08.2025;03:00;36.885,27
25.08.2025;04:00;36.087,76
25.08.2025;05:00;35.792,26
25.08.2025;06:00;35.375,05
25.08.2025;07:00;37.689,17
25.08.2025;08:00;44.131,81
25.08.2025;09:00;47.401,73
25.08.2025;10:00;49.379,48
25.08.2025;11:00;50.319,86
25.08.2025;12:00;49.394,90
25.08.2025;13:00;50.815,45
25.08.2025;14:00;52.053,87
25.08.2025;15:00;51.719,89
25.08.2025;16:00;51.807,39
25.08.2025;17:00;51.555,00
25.08.2025;18:00;50.180,23
25.08.2025;19:00;50.552,35
25.08.2025;20:00;50.864,56
25.08.2025;21:00;49.512,30
25.08.2025;22:00;47.780,78
25.08.2025;23:00;45.966,22
26.08.2025;00:00;43.921,52
26.08.2025;01:00;42.084,70
26.08.2025;02:00;40.501,00
26.08.2025;03:00;39.392,50
26.08.2025;04:00;38.444,04
26.08.2025;05:00;38.103,29
26.08.2025;06:00;37.190,48
26.08.2025;07:00;39.359,43
26.08.2025;08:00;44.559,71
26.08.2025;09:00;47.965,24
26.08.2025;10:00;49.029,80
26.08.2025;11:00;50.366,38
26.08.2025;12:00;49.512,46
26.08.2025;13:00;50.904,65
26.08.2025;14:00;52.109,34
26.08.2025;15:00;51.920,74
26.08.2025;16:00;51.788,60
26.08.2025;17:00;51.288,73
26.08.2025;18:00;50.018,97
26.08.2025;19:00;50.485,40
26.08.2025;20:00;50.932,16
26.08.2025;21:00;49.251,98
26.08.2025;22:00;47.637,91
26.08.2025;23:00;45.660,72
